RefrigerantMassFlow_kg_s,WaterInletTemp_C,CondenserCapacity_kW,WaterTempRise_K,RefrigerantDeltaP_Pa
0.025,26,-7.24662862355413,2.50905745368846,11.0462986771017
0.05,26,-14.8036735919942,4.67395057948141,79.1342862383462
0.075,26,-22.2548300324637,6.92048805421632,192.216851426288
0.025,30,-7.24662862355413,2.50905745368846,11.0462986771017
0.05,30,-14.8036735919942,4.67395057948141,79.1342862383462
0.075,30,-22.2548300324637,6.92048805421632,192.216851426288
0.025,34,-7.24662862355413,2.50905745368846,11.0462986771017
0.05,34,-14.8036735919942,4.67395057948141,79.1342862383462
0.075,34,-22.2548300324637,6.92048805421632,192.216851426288
